Apellido Paterno,Apellido Materno,Nombre,Fecha de Registro,Actividad,Código Cliente,Código Segmento,Estado,DNI,Fraude,Sigla
Gómez,Díaz,Sofía,2023-05-10,Docente,C000087,B,Activo,39059196,Fraude 31,BSO
Gómez,Fernández,Luis,2021-03-18,Docente,C000088,D,Suspendido,89157687,Fraude 78,PCO
Rodríguez,Fernández,Andrés,2022-06-02,Agricultor,C000089,B,Inactivo,76360507,Fraude 100,PCO
López,Rodríguez,Juan,2021-12-12,Docente,C000090,B,Activo,28194930,Fraude 56,PEF
Díaz,Pérez,Elena,2021-12-22,Agricultor,C000091,B,Suspendido,21120635,Fraude 38,PEF
González,Pérez,Valeria,2022-09-05,Estudiante,C000092,C,Activo,37051825,Fraude 58,BFO
Sánchez,Díaz,Carlos,2021-09-04,Estudiante,C000093,E,Suspendido,89671643,Fraude 23,PEF
Ramírez,Ramírez,Valeria,2021-06-01,Comerciante,C000094,C,Suspendido,65647560,Fraude 98,PEF
Pérez,Sánchez,Ana,2020-04-24,Agricultor,C000095,D,Suspendido,26368791,Fraude 5,VL1
Martínez,Díaz,María,2024-01-17,Empresario,C000096,C,Suspendido,88302573,Fraude 28,PCO
Pérez,Pérez,Juan,2020-07-08,Comerciante,C000097,C,Suspendido,13172054,Fraude 63,BFO
Díaz,Gómez,Carlos,2020-10-31,Docente,C000098,E,Activo,90165234,Fraude 36,BFO
López,Rodríguez,Juan,2023-02-16,Empresario,C000099,C,Inactivo,10290483,Fraude 35,PCO
López,Ramírez,Valeria,2024-05-18,Independiente,C000100,C,Inactivo,89689174,Fraude 49,BPR
Rodríguez,Rodríguez,María,2021-03-12,Comerciante,C000101,E,Inactivo,64457731,Fraude 49,VL1
López,González,Sofía,2021-12-11,Empresario,C000102,A,Suspendido,66822058,Fraude 52,PEF
Pérez,López,Andrés,2022-08-26,Empresario,C000103,D,Suspendido,18802989,Fraude 16,PEF
Gómez,Díaz,Ana,2020-03-22,Docente,C000104,E,Inactivo,73356494,Fraude 81,BPR
Ramírez,Ramírez,Luis,2023-01-01,Comerciante,C000105,D,Suspendido,65444124,Fraude 35,BFO
Pérez,Rodríguez,Valeria,2023-12-19,Estudiante,C000106,B,Suspendido,59190821,Fraude 11,BPR
Fernández,Pérez,Carlos,2020-01-19,Estudiante,C000107,D,Inactivo,12276804,Fraude 98,PEF
Fernández,Martínez,María,2020-08-19,Comerciante,C000108,D,Suspendido,27927948,Fraude 26,VL1
Fernández,Fernández,Valeria,2020-03-23,Empleado,C000109,E,Suspendido,74594202,Fraude 28,VL1
Fernández,Fernández,Valeria,2022-12-03,Comerciante,C000110,A,Inactivo,76391756,Fraude 12,PCO
Sánchez,Pérez,Miguel,2024-11-07,Comerciante,C000111,D,Suspendido,52616686,Fraude 29,PCO
González,Rodríguez,Miguel,2022-02-16,Independiente,C000112,B,Suspendido,54510565,Fraude 5,PEF
Martínez,Martínez,María,2020-01-18,Empresario,C000113,A,Suspendido,40382491,Fraude 4,VL1
Pérez,Díaz,María,2022-06-17,Docente,C000114,E,Inactivo,52078652,Fraude 32,BSO
López,López,Sofía,2021-01-25,Independiente,C000115,B,Inactivo,26464654,Fraude 57,BFO
Fernández,Sánchez,Valeria,2022-01-28,Independiente,C000116,B,Suspendido,41941949,Fraude 5,BPR
Ramírez,Martínez,Luis,2023-05-02,Comerciante,C000117,D,Suspendido,58607394,Fraude 60,PCO
Rodríguez,Sánchez,Luis,2024-03-04,Docente,C000118,C,Suspendido,17723331,Fraude 98,VL1
Fernández,Sánchez,Carlos,2022-09-30,Empleado,C000119,D,Inactivo,79031621,Fraude 19,BSO
Martínez,Fernández,Valeria,2020-12-01,Docente,C000120,A,Inactivo,96474408,Fraude 2,PEF
González,Fernández,Luis,2024-05-16,Independiente,C000121,E,Activo,86959627,Fraude 40,BFO
Ramírez,Pérez,Juan,2024-11-02,Docente,C000122,E,Activo,74143041,Fraude 78,PEF
López,Díaz,Andrés,2020-04-09,Comerciante,C000123,E,Activo,91068975,Fraude 95,BPR
Ramírez,López,María,2020-08-30,Docente,C000124,A,Inactivo,17388259,Fraude 6,PCO
Rodríguez,Rodríguez,Luis,2023-03-15,Comerciante,C000125,A,Activo,12092780,Fraude 29,BPR
González,Pérez,Juan,2023-06-26,Independiente,C000126,B,Suspendido,39845880,Fraude 89,VL1
Fernández,Fernández,Valeria,2023-08-02,Independiente,C000127,C,Activo,29682969,Fraude 73,BFO
Rodríguez,Martínez,Miguel,2023-02-25,Docente,C000128,A,Inactivo,23331477,Fraude 57,BPR
Fernández,González,Miguel,2021-03-25,Agricultor,C000129,D,Suspendido,88248230,Fraude 14,VL1
Pérez,Ramírez,María,2024-06-09,Independiente,C000130,D,Activo,78833091,Fraude 92,PEF
Fernández,Pérez,Elena,2020-11-13,Estudiante,C000131,A,Inactivo,82682075,Fraude 63,BSO
Gómez,Pérez,Valeria,2023-11-12,Agricultor,C000132,A,Inactivo,62174050,Fraude 55,BFO
Gómez,Sánchez,Elena,2023-10-11,Independiente,C000133,C,Suspendido,51709053,Fraude 40,PEF
González,Ramírez,Luis,2020-07-05,Empleado,C000134,A,Inactivo,74425285,Fraude 52,BFO
Ramírez,Gómez,Luis,2024-08-23,Docente,C000135,A,Activo,48961606,Fraude 45,PCO
Fernández,Ramírez,Andrés,2022-03-15,Independiente,C000136,E,Activo,17392162,Fraude 25,BSO
Gómez,Ramírez,Andrés,2020-12-28,Agricultor,C000137,A,Activo,13161517,Fraude 10,BFO
Fernández,Pérez,Elena,2022-10-19,Comerciante,C000138,B,Inactivo,33075824,Fraude 24,BPR
Rodríguez,López,Andrés,2024-08-18,Empresario,C000139,A,Activo,29465391,Fraude 20,PCO
Martínez,Pérez,Miguel,2024-12-19,Estudiante,C000140,E,Activo,39982519,Fraude 26,PEF
González,Martínez,Sofía,2021-01-29,Independiente,C000141,B,Inactivo,67345172,Fraude 9,PEF
López,Fernández,Miguel,2021-02-07,Comerciante,C000142,B,Activo,17875679,Fraude 90,PEF
López,López,María,2022-04-01,Empresario,C000143,B,Inactivo,42883838,Fraude 37,PCO
Pérez,Díaz,Miguel,2023-02-15,Empresario,C000144,E,Activo,51038319,Fraude 95,PEF
Martínez,Rodríguez,Luis,2022-12-05,Agricultor,C000145,C,Inactivo,38776957,Fraude 58,PEF
Ramírez,Pérez,María,2020-04-22,Docente,C000146,A,Suspendido,30408574,Fraude 53,BFO
Fernández,Díaz,Valeria,2023-02-08,Empleado,C000147,B,Activo,17234823,Fraude 7,BSO
Fernández,Ramírez,Andrés,2024-10-04,Empleado,C000148,C,Inactivo,49454973,Fraude 56,PEF
Fernández,Sánchez,Miguel,2022-06-18,Empleado,C000149,D,Activo,54906340,Fraude 37,BSO
Fernández,Díaz,Carlos,2023-11-12,Independiente,C000150,C,Inactivo,27908791,Fraude 80,BFO
Gómez,González,Luis,2024-01-19,Docente,C000151,C,Activo,60398478,Fraude 10,PEF
López,Fernández,Juan,2020-05-19,Estudiante,C000152,E,Suspendido,65699347,Fraude 91,BPR
Pérez,Pérez,María,2022-11-22,Agricultor,C000153,A,Suspendido,60344536,Fraude 64,PCO
López,González,Ana,2024-10-25,Agricultor,C000154,E,Inactivo,17346977,Fraude 39,VL1
Fernández,López,Sofía,2023-07-24,Comerciante,C000155,B,Suspendido,50941061,Fraude 17,BFO
Martínez,López,María,2022-04-07,Empleado,C000156,D,Suspendido,31189243,Fraude 41,BSO
Fernández,Ramírez,Ana,2020-05-09,Empleado,C000157,E,Suspendido,84320759,Fraude 95,VL1
Ramírez,González,Carlos,2024-01-09,Comerciante,C000158,E,Suspendido,19172959,Fraude 49,PEF
Pérez,Pérez,Carlos,2020-08-19,Agricultor,C000159,B,Activo,98786020,Fraude 51,PCO
Ramírez,González,Carlos,2021-07-12,Empleado,C000160,D,Inactivo,92690649,Fraude 89,BFO
López,Fernández,Valeria,2020-06-21,Docente,C000161,E,Suspendido,32198403,Fraude 71,BPR
López,López,Miguel,2021-10-24,Empleado,C000162,A,Activo,84270968,Fraude 45,BSO
Gómez,Ramírez,Juan,2022-02-12,Comerciante,C000163,C,Suspendido,60371602,Fraude 63,PEF
Martínez,Sánchez,Sofía,2023-11-02,Estudiante,C000164,E,Suspendido,71350220,Fraude 50,VL1
Martínez,Fernández,Miguel,2024-08-07,Independiente,C000165,A,Activo,47042720,Fraude 1,BSO
Rodríguez,González,Andrés,2020-04-09,Independiente,C000166,D,Activo,78302823,Fraude 75,BSO
Martínez,López,María,2021-01-18,Docente,C000167,A,Suspendido,26941667,Fraude 2,PEF
Pérez,Ramírez,Valeria,2021-08-28,Estudiante,C000168,E,Suspendido,58650852,Fraude 94,VL1
Rodríguez,Pérez,Juan,2021-06-19,Docente,C000169,A,Suspendido,84229619,Fraude 98,BFO
González,Ramírez,Valeria,2023-08-16,Independiente,C000170,E,Activo,70477792,Fraude 25,BPR
Ramírez,González,Andrés,2024-10-16,Empleado,C000171,D,Suspendido,37564056,Fraude 19,VL1
Ramírez,Fernández,Andrés,2023-10-12,Empleado,C000172,D,Activo,78981732,Fraude 9,PCO
Martínez,Fernández,Juan,2022-07-09,Independiente,C000173,E,Suspendido,58115466,Fraude 43,VL1
Díaz,López,Sofía,2022-09-01,Independiente,C000174,D,Inactivo,91485443,Fraude 87,BPR
Fernández,López,Luis,2020-10-13,Independiente,C000175,A,Inactivo,66362633,Fraude 57,BSO
Ramírez,Pérez,María,2022-08-12,Empleado,C000176,A,Suspendido,85720537,Fraude 16,PEF
Martínez,Pérez,Juan,2020-01-13,Estudiante,C000177,E,Activo,34872231,Fraude 26,PCO
Gómez,Martínez,Miguel,2024-06-07,Empresario,C000178,B,Inactivo,31510558,Fraude 60,BPR
Pérez,Martínez,Elena,2021-05-26,Empresario,C000179,E,Activo,21724086,Fraude 82,PEF
González,López,Luis,2022-08-01,Empleado,C000180,D,Activo,77832667,Fraude 36,BSO
Rodríguez,Rodríguez,Elena,2022-02-15,Empleado,C000181,D,Activo,54739483,Fraude 77,BSO
López,Sánchez,María,2024-06-16,Estudiante,C000182,D,Activo,71743868,Fraude 80,BSO
Díaz,Pérez,Andrés,2023-01-08,Agricultor,C000183,C,Inactivo,20462500,Fraude 3,BSO
Martínez,Sánchez,Elena,2024-07-01,Agricultor,C000184,B,Suspendido,33019064,Fraude 41,BSO
Ramírez,López,Luis,2022-02-24,Empresario,C000185,C,Activo,95477016,Fraude 30,PEF
Sánchez,Díaz,Luis,2023-03-05,Comerciante,C000186,B,Suspendido,53866498,Fraude 73,VL1
Fernández,Pérez,Elena,2024-01-10,Agricultor,C000187,E,Activo,51746635,Fraude 44,BFO
Rodríguez,Gómez,Elena,2023-09-18,Agricultor,C000188,C,Activo,81453978,Fraude 15,BSO
Rodríguez,Rodríguez,Sofía,2020-12-28,Estudiante,C000189,D,Suspendido,13923492,Fraude 15,BSO
Gómez,Díaz,María,2020-11-08,Agricultor,C000190,C,Activo,18946419,Fraude 73,VL1
Díaz,López,Andrés,2022-10-13,Independiente,C000191,C,Activo,90462991,Fraude 45,PCO
Pérez,Ramírez,Andrés,2022-11-01,Empleado,C000192,E,Activo,34186183,Fraude 29,PCO
Sánchez,Sánchez,Miguel,2023-11-26,Independiente,C000193,C,Activo,60865540,Fraude 16,VL1
González,Rodríguez,Elena,2022-06-07,Agricultor,C000194,D,Inactivo,25991192,Fraude 45,BSO
Díaz,Sánchez,Carlos,2023-03-13,Docente,C000195,D,Activo,26340564,Fraude 18,VL1
Díaz,Sánchez,Juan,2024-05-18,Empresario,C000196,B,Suspendido,96030235,Fraude 78,VL1
Sánchez,Pérez,Luis,2021-06-24,Docente,C000197,A,Suspendido,23717575,Fraude 52,BFO
Martínez,Gómez,Ana,2024-01-16,Docente,C000198,D,Suspendido,82989291,Fraude 91,BPR
Rodríguez,Fernández,María,2024-02-01,Comerciante,C000199,B,Inactivo,31644928,Fraude 24,BPR
Díaz,Fernández,Miguel,2021-01-22,Docente,C000200,A,Inactivo,63144247,Fraude 61,VL1
López,Gómez,Valeria,2021-04-09,Empresario,C000201,C,Inactivo,92633982,Fraude 54,VL1
González,González,Sofía,2023-11-15,Empleado,C000202,B,Suspendido,86453965,Fraude 67,BFO
Rodríguez,Sánchez,Ana,2021-02-18,Estudiante,C000203,B,Suspendido,66979275,Fraude 71,BPR
López,Ramírez,Ana,2022-07-31,Estudiante,C000204,C,Activo,49282675,Fraude 25,BSO
Pérez,Gómez,Sofía,2022-08-23,Agricultor,C000205,D,Inactivo,76438733,Fraude 3,BPR
González,Martínez,Sofía,2021-03-06,Agricultor,C000206,B,Activo,84324808,Fraude 30,PCO
Rodríguez,Fernández,Sofía,2023-09-14,Comerciante,C000207,D,Inactivo,46491396,Fraude 42,PCO
Rodríguez,González,Ana,2024-06-09,Agricultor,C000208,D,Suspendido,96592889,Fraude 29,BFO
Pérez,Martínez,Valeria,2023-09-16,Docente,C000209,C,Inactivo,78895717,Fraude 75,BSO
Gómez,Fernández,Sofía,2024-01-20,Docente,C000210,A,Suspendido,65337941,Fraude 27,BFO
Ramírez,Díaz,Andrés,2023-01-27,Empresario,C000211,B,Inactivo,26559013,Fraude 13,BPR
Fernández,Sánchez,Ana,2024-08-11,Estudiante,C000212,E,Activo,36948970,Fraude 28,BFO
Fernández,Rodríguez,Miguel,2020-07-01,Estudiante,C000213,E,Suspendido,44639217,Fraude 90,BPR
Ramírez,Pérez,Miguel,2024-09-07,Estudiante,C000214,D,Inactivo,90927133,Fraude 47,BPR
Pérez,Rodríguez,Valeria,2020-10-16,Estudiante,C000215,D,Inactivo,11382964,Fraude 21,BFO
Pérez,Díaz,Miguel,2023-05-08,Estudiante,C000216,A,Activo,25527793,Fraude 39,BSO
Sánchez,González,Juan,2022-12-04,Docente,C000217,E,Suspendido,49566386,Fraude 73,PEF
Sánchez,López,María,2021-05-20,Docente,C000218,B,Inactivo,53463692,Fraude 4,BSO
Sánchez,Gómez,Ana,2022-11-04,Comerciante,C000219,A,Suspendido,99175280,Fraude 66,BSO
Gómez,López,Sofía,2023-03-02,Comerciante,C000220,A,Activo,37206794,Fraude 98,BSO
Gómez,López,Andrés,2020-10-29,Empresario,C000221,C,Activo,29092597,Fraude 3,VL1
Díaz,González,Sofía,2024-06-20,Independiente,C000222,D,Inactivo,78358653,Fraude 16,PEF
Martínez,Pérez,Ana,2023-03-10,Agricultor,C000223,A,Activo,53072529,Fraude 81,BSO
Rodríguez,Fernández,Sofía,2020-08-29,Independiente,C000224,C,Activo,98365340,Fraude 76,VL1
Martínez,López,Elena,2024-06-19,Independiente,C000225,C,Suspendido,57092286,Fraude 30,BSO
Fernández,Rodríguez,María,2020-05-16,Comerciante,C000226,B,Inactivo,42042293,Fraude 36,VL1
Díaz,Sánchez,Carlos,2024-03-18,Agricultor,C000227,D,Suspendido,54071151,Fraude 18,PEF
López,Fernández,María,2020-07-16,Estudiante,C000228,E,Inactivo,76375187,Fraude 21,VL1
López,González,Luis,2022-03-29,Estudiante,C000229,D,Inactivo,82972297,Fraude 97,BFO
Pérez,Pérez,Ana,2020-02-04,Independiente,C000230,A,Suspendido,34397609,Fraude 54,VL1
Rodríguez,Pérez,Sofía,2024-03-08,Agricultor,C000231,B,Suspendido,15606944,Fraude 80,VL1
Gómez,Martínez,Luis,2022-05-19,Comerciante,C000232,E,Suspendido,47241160,Fraude 59,PEF
López,Díaz,Elena,2024-07-14,Independiente,C000233,B,Activo,66435729,Fraude 45,VL1
Díaz,Martínez,Carlos,2022-03-25,Empresario,C000234,A,Activo,66054567,Fraude 74,VL1
López,González,Elena,2024-01-23,Docente,C000235,B,Inactivo,40309959,Fraude 86,PEF
Martínez,González,Andrés,2024-02-29,Estudiante,C000236,E,Inactivo,62795794,Fraude 86,BSO
Díaz,González,Carlos,2024-07-06,Estudiante,C000237,A,Inactivo,44556808,Fraude 46,BSO
López,Rodríguez,Miguel,2020-02-06,Comerciante,C000238,E,Activo,23000256,Fraude 78,VL1
López,Fernández,Juan,2020-09-23,Comerciante,C000239,B,Suspendido,36905687,Fraude 85,BFO
Sánchez,Sánchez,Juan,2023-07-25,Estudiante,C000240,A,Inactivo,40243904,Fraude 73,VL1
Sánchez,Fernández,Valeria,2020-03-08,Independiente,C000241,E,Inactivo,21949631,Fraude 62,PEF
Díaz,Pérez,Ana,2024-09-26,Estudiante,C000242,D,Activo,69856938,Fraude 78,BPR
Gómez,Díaz,María,2020-12-22,Empleado,C000243,A,Activo,71115536,Fraude 6,PCO
Ramírez,Rodríguez,Miguel,2024-06-29,Independiente,C000244,B,Inactivo,15702724,Fraude 48,VL1
Ramírez,Pérez,Juan,2020-09-19,Agricultor,C000245,C,Suspendido,90710784,Fraude 75,PCO
Martínez,Díaz,Sofía,2020-10-24,Empresario,C000246,C,Inactivo,42556505,Fraude 80,VL1
Díaz,González,Ana,2022-05-02,Docente,C000247,A,Activo,92167335,Fraude 53,VL1
Pérez,Díaz,Carlos,2023-06-27,Empresario,C000248,A,Inactivo,34832123,Fraude 83,BFO
Díaz,Díaz,Miguel,2022-11-10,Comerciante,C000249,E,Suspendido,30812872,Fraude 93,BFO
Ramírez,Ramírez,Ana,2022-12-04,Docente,C000250,E,Inactivo,63580425,Fraude 98,BFO
Gómez,Fernández,Valeria,2024-02-11,Empleado,C000251,B,Inactivo,43310681,Fraude 89,BFO
Sánchez,Fernández,Juan,2022-08-07,Independiente,C000252,E,Activo,15790185,Fraude 32,BFO
Ramírez,Rodríguez,Elena,2024-05-27,Docente,C000253,C,Inactivo,75000462,Fraude 10,BFO
López,Pérez,Luis,2020-08-24,Comerciante,C000254,C,Inactivo,99698022,Fraude 56,PCO
Sánchez,Pérez,Luis,2024-11-06,Independiente,C000255,E,Suspendido,20585671,Fraude 44,BSO
González,Ramírez,Ana,2024-04-10,Agricultor,C000256,C,Activo,78268711,Fraude 76,BFO
González,Pérez,Miguel,2022-12-31,Agricultor,C000257,E,Activo,12382251,Fraude 28,BFO
Rodríguez,Gómez,Andrés,2020-04-18,Comerciante,C000258,B,Inactivo,67549369,Fraude 2,VL1
Fernández,Gómez,María,2021-01-18,Docente,C000259,A,Suspendido,31666988,Fraude 26,BFO
Ramírez,Ramírez,Sofía,2022-10-28,Empresario,C000260,E,Suspendido,31684380,Fraude 10,BFO
Ramírez,Pérez,Valeria,2020-04-27,Empresario,C000261,B,Suspendido,84604101,Fraude 9,BSO
Martínez,Martínez,Ana,2021-10-03,Estudiante,C000262,D,Activo,99742756,Fraude 88,BFO
López,Díaz,Miguel,2024-02-05,Empresario,C000263,D,Activo,74932335,Fraude 46,PEF
